first_name,second_name,team,team_code,id,element_type,now_cost,points_per_game,total_points,form,ep_next,ep_this
Mesut,Özil,1,3,1,3,6.8,0.0,0,0.0,0.0,0.0
Sokratis,Papastathopoulos,1,3,2,2,4.9,0.0,0,0.0,0.0,0.0
David,Luiz Moreira Marinho,1,3,3,2,5.5,1.4,7,1.7,0.8,1.7
Pierre-Emerick,Aubameyang,1,3,4,3,11.7,3.3,20,2.0,2.0,2.0
Cédric,Soares,1,3,5,2,4.7,0.0,0,0.0,0.0,0.0
Alexandre,Lacazette,1,3,6,4,8.4,4.6,23,0.7,0.7,0.7
Shkodran,Mustafi,1,3,7,2,5.0,1.0,1,0.3,0.3,0.3
Bernd,Leno,1,3,8,1,5.0,3.2,19,2.3,2.3,2.3
Granit,Xhaka,1,3,9,3,5.4,1.7,10,1.3,1.3,1.3
Pablo,Marí,1,3,10,2,4.4,0.0,0,0.0,0.0,0.0
Héctor,Bellerín,1,3,11,2,5.0,3.5,21,4.7,4.7,4.7
Calum,Chambers,1,3,13,2,4.5,0.0,0,0.0,0.0,0.0
Sead,Kolasinac,1,3,14,2,4.8,2.0,2,0.0,0.0,0.0
Ainsley,Maitland-Niles,1,3,15,2,4.9,2.7,8,0.3,0.3,0.3
Rob,Holding,1,3,16,2,4.5,3.0,9,0.0,0.0,0.0
Kieran,Tierney,1,3,17,2,5.4,2.6,13,2.0,2.0,2.0
Nicolas,Pépé,1,3,18,3,7.7,2.0,12,3.0,3.0,3.0
Lucas,Torreira,1,3,19,3,4.7,0.0,0,0.0,0.0,0.0
Joseph,Willock,1,3,20,3,4.8,0.0,0,0.0,0.0,0.0
Reiss,Nelson,1,3,21,3,5.2,0.0,0,0.0,0.0,0.0
Edward,Nketiah,1,3,22,4,5.7,2.2,13,1.0,1.0,1.0
Emile,Smith Rowe,1,3,23,3,4.4,0.0,0,0.0,0.0,0.0
Bukayo,Saka,1,3,24,3,5.3,3.8,15,4.3,4.3,4.3
Matteo,Guendouzi,1,3,25,3,4.7,0.0,0,0.0,0.0,0.0
Gabriel Teodoro,Martinelli Silva,1,3,26,3,4.9,0.0,0,0.0,0.0,0.0
William,Saliba,1,3,27,2,4.2,0.0,0,0.0,0.0,0.0
Willian,Borges Da Silva,1,3,478,3,7.8,4.4,22,1.3,1.3,1.0
Gabriel,Magalhães,1,3,494,2,5.1,4.6,23,2.0,2.0,2.0
Daniel,Ceballos Fernández,1,3,501,3,5.0,2.7,16,2.3,2.3,1.7
Mohamed Naser,El Sayed Elneny,1,3,526,3,4.4,2.3,7,0.7,0.7,0.7
Matt,Macey,1,3,527,1,4.0,0.0,0,0.0,0.0,0.0
Rúnar Alex,Rúnarsson,1,3,547,1,4.5,0.0,0,0.0,0.0,0.0
Thomas,Partey,1,3,567,3,5.0,1.0,2,1.0,1.0,1.0
Emiliano,Martínez,2,7,12,1,4.8,6.8,34,5.0,5.0,5.0
Tom,Heaton,2,7,28,1,4.5,0.0,0,0.0,0.0,0.0
Ahmed,El Mohamady,2,7,29,2,4.4,1.0,1,0.3,0.3,0.3
Henri,Lansbury,2,7,30,3,4.4,0.0,0,0.0,0.0,0.0
Neil,Taylor,2,7,31,2,4.4,0.0,0,0.0,0.0,0.0
Jed,Steer,2,7,32,1,4.0,0.0,0,0.0,0.0,0.0
Conor,Hourihane,2,7,33,3,6.0,8.5,17,0.0,0.0,0.0
José Ignacio,Peleteiro Romallo,2,7,34,3,5.9,0.0,0,0.0,0.0,0.0
Ørjan,Nyland,2,7,35,1,4.0,0.0,0,0.0,0.0,0.0
Bjorn,Engels,2,7,36,2,4.4,0.0,0,0.0,0.0,0.0
Jack,Grealish,2,7,37,3,7.3,7.8,39,9.3,9.3,9.3
John,McGinn,2,7,38,3,5.5,5.8,29,5.7,5.7,5.7
Kortney,Hause,2,7,39,2,4.4,0.0,0,0.0,0.0,0.0
Mahmoud Ahmed,Ibrahim Hassan,2,7,40,3,5.4,3.2,16,3.3,3.3,3.3
